STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
745058,23277, 20140401,   47.6,24,   43.4,24, 1013.9,19, 1008.0,24,   9.0,24,   4.1,24,  17.1,  21.0,   60.1 ,  41.0 , 0.55G,999.9, 010000,
745090,23244, 20140401,   49.4,24,   42.5,24, 1013.4,22, 1012.1,24,   9.4,24,   6.6,24,  12.0,  21.0,   57.9*,  44.6*, 0.63G,999.9, 010000,
745160,23202, 20140401,   48.3,24,   47.5,24, 1012.1, 9, 1010.2,16,  10.0,24,   6.7,24,  20.0,  28.0,   56.7 ,  42.8 , 0.09C,999.9, 010000,
746120,93104, 20140401,   53.2,24,   24.1,24, 1009.7,23,  929.3,24,  10.0,24,  15.0,24,  26.0,  35.9,   72.0 ,  41.0 , 0.00G,999.9, 000000,
747020,23110, 20140401,   53.1,24,   41.4,24, 1014.2,20, 1005.5,21,   7.5,22,   8.1,24,  20.0, 999.9,   71.1 ,  39.0 , 0.07G,999.9, 110000,
747043,03165, 20140401,   59.0,13,   41.0,13, 9999.9, 0, 1004.9,10,  10.0,13,   7.2,13,  13.0,  19.0,   62.6*,  53.6*, 0.00I,999.9, 000000,
747185,03144, 20140401,   64.0,24,   38.7,24, 1012.1,24, 1014.1,24,   9.9,24,  16.0,24,  25.1,  35.9,   84.0 ,  51.1 , 0.00G,999.9, 000000,
747186,03164, 20140401,   48.0,24,   40.9,24, 1012.5,24,  921.6,24, 999.9, 0,  12.8,24,  18.1,  27.0,   55.9*,  45.0*, 0.00G,999.9, 000000,
747187,03104, 20140401,   66.3,24,   33.9,24, 1011.3,24, 1015.4,24,  10.0,24,   9.3,24,  19.0,  28.0,   84.9 ,  50.0 , 0.00G,999.9, 000000,
747188,23158, 20140401,   66.9,24,   32.8,24, 1010.4,24,  996.7,24,  10.0,24,  14.0,24,  22.0,  32.1,   84.0 ,  52.0 , 0.00G,999.9, 000000,
749171,99999, 20140401,   39.4,24,   32.1,24, 9999.9, 0, 9999.9, 0,   6.6,24,  11.7,24,  18.1,  24.1,   51.8*,  32.0*,99.99 ,999.9, 011000,
749179,99999, 20140401,   48.0,24,   44.4,24, 9999.9, 0, 9999.9, 0,   8.9,24,   4.5,24,  14.0,  18.1,   59.0*,  42.8*, 0.00I,999.9, 000000,
749485,99999, 20140401,   45.9,24,   40.3,24, 9999.9, 0, 9999.9, 0,   9.7,24,  10.3,24,  18.1,  24.1,   53.6*,  41.0*, 0.00I,999.9, 000000,
749486,99999, 20140401,   32.6,24,   32.6,24, 9999.9, 0, 9999.9, 0,   1.0,24,   2.3,24,   9.9,  17.1,   37.4*,  32.0*, 0.00I,999.9, 000000,
994012,99999, 20140401,   48.7,24, 9999.9, 0, 1008.6,24, 9999.9, 0, 999.9, 0,  10.0,24,  15.9, 999.9,   53.2*,  46.0*, 0.00I,999.9, 000000,
994016,99999, 20140401,   50.4,24, 9999.9, 0, 1012.4,24, 9999.9, 0, 999.9, 0,   5.3,24,   8.9, 999.9,   55.0*,  47.3*, 0.00I,999.9, 000000,
994018,99999, 20140401,   58.3,24, 9999.9, 0, 1016.4,24, 9999.9, 0, 999.9, 0,   7.3,24,  15.9, 999.9,   60.6*,  56.3*, 0.00I,999.9, 000000,
994028,99999, 20140401,   55.6,24, 9999.9, 0, 1015.6,24, 9999.9, 0, 999.9, 0,  12.2,24,  20.0, 999.9,   57.6*,  51.6*, 0.00I,999.9, 000000,
994033,99999, 20140401,   51.0,24, 9999.9, 0, 1012.1,24, 9999.9, 0, 999.9, 0,  10.8,24,  22.9, 999.9,   55.9*,  47.8*, 0.00I,999.9, 000000,
994034,99999, 20140401,   48.8,24, 9999.9, 0, 1012.2,24, 9999.9, 0, 999.9, 0,   5.7,24,  11.1, 999.9,   55.4*,  46.4*, 0.00I,999.9, 000000,
994036,99999, 20140401,   51.7,24, 9999.9, 0, 1011.9,24, 9999.9, 0, 999.9, 0,   7.8,24,  19.0, 999.9,   55.9*,  49.8*, 0.00I,999.9, 000000,
994041,99999, 20140401,   49.3,24, 9999.9, 0, 1012.1,24, 9999.9, 0, 999.9, 0,   5.7,24,  15.0, 999.9,   57.6*,  45.1*, 0.00I,999.9, 000000,
994044,99999, 20140401,   48.8,24, 9999.9, 0, 1010.7,24, 9999.9, 0, 999.9, 0,   6.2,24,  11.1, 999.9,   52.2*,  44.6*, 0.00I,999.9, 000000,
994210,99999, 20140401,   53.4,24, 9999.9, 0, 1015.8,24, 9999.9, 0, 999.9, 0,   6.9,24,  22.0, 999.9,   59.5*,  47.8*, 0.00I,999.9, 000000,
997375,99999, 20140401,   52.5,24, 9999.9, 0, 1012.9,24, 9999.9, 0, 999.9, 0,  10.8,24,  19.4, 999.9,   54.7*,  49.6*, 0.00I,999.9, 000000,
998011,99999, 20140401,   48.5,24,   45.2,24, 1011.8,24, 9999.9, 0, 999.9, 0,   5.6,24,  13.0, 999.9,   53.2*,  46.0*, 0.00I,999.9, 000000,
998013,99999, 20140401,   58.5,24,   49.6,24, 1016.9,24, 9999.9, 0, 999.9, 0,   5.1,24,   8.9, 999.9,   63.1*,  54.7*, 0.00I,999.9, 000000,
998175,99999, 20140401,   49.0,24,   43.2,24, 9999.9, 0, 9999.9, 0, 999.9, 0,   5.9,24,  15.0, 999.9,   55.0*,  44.1*, 0.00I,999.9, 000000,
998340,99999, 20140401,   54.0,20, 9999.9, 0, 1015.3,20, 9999.9, 0, 999.9, 0,   7.2,20,  15.9, 999.9,   58.1*,  49.8*, 0.00I,999.9, 000000,
998408,99999, 20140401,   58.1,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   9.3,24,  14.0, 999.9,   61.5*,  55.8*, 0.00I,999.9, 000000,
998474,99999, 20140401,   51.0,24, 9999.9, 0, 1011.7,24, 9999.9, 0, 999.9, 0,  10.0,24,  22.0, 999.9,   55.4*,  48.0*, 0.00I,999.9, 000000,
998475,99999, 20140401,   49.6,24,   43.5,24, 1011.9,24, 9999.9, 0,   6.7,24,   7.7,24,  15.0, 999.9,   55.2*,  46.9*, 0.00I,999.9, 000000,
998476,99999, 20140401,   50.5,24, 9999.9, 0, 1012.4,24, 9999.9, 0, 999.9, 0,   7.9,24,  14.0, 999.9,   56.1*,  47.7*, 0.00I,999.9, 000000,
998477,99999, 20140401,   51.7,24, 9999.9, 0, 1012.2,24, 9999.9, 0, 999.9, 0,  11.3,24,  18.1, 999.9,   56.7*,  48.9*, 0.00I,999.9, 000000,
998478,99999, 20140401,   50.2,24, 9999.9, 0, 1012.2,24, 9999.9, 0, 999.9, 0,   5.7,24,  11.1, 999.9,   55.6*,  47.7*, 0.00I,999.9, 000000,
998479,99999, 20140401,   50.8,24, 9999.9, 0, 1011.3,24, 9999.9, 0, 999.9, 0,   7.2,24,  17.1, 999.9,   55.6*,  48.9*, 0.00I,999.9, 000000,
